dataset,label,utility_mean,utility_std,dataset_display
adult_income,+FA Loss,74.13377556661139,2.0922647142481097,Adult Income
adult_income,+FA Loss+PFS (Final),74.13377556661139,2.0922647142481097,Adult Income
adult_income,Original,75.22830292979546,0.3070457528632356,Adult Income
breast_cancer,+FA Loss,65.08771929824562,4.8205725136961695,Breast Cancer
breast_cancer,+FA Loss+PFS (Final),65.08771929824562,4.8205725136961695,Breast Cancer
breast_cancer,Original,57.54385964912281,13.54120053889138,Breast Cancer
credit,+FA Loss,61.999999999999986,12.394555256240537,Credit
credit,+FA Loss+PFS (Final),61.999999999999986,12.394555256240537,Credit
credit,Original,55.89999999999999,17.289447648782765,Credit
heart,+FA Loss,53.333333333333336,16.635773838130152,Heart
heart,+FA Loss+PFS (Final),53.333333333333336,16.635773838130152,Heart
heart,Original,48.51851851851851,10.670266882139213,Heart
pima,+FA Loss,64.93506493506493,1.8931661996250966,PIMA
pima,+FA Loss+PFS (Final),64.02597402597404,3.298292233558522,PIMA
pima,Original,63.5064935064935,6.564546470701357,PIMA
