dataset,method,domias_mean,domias_std,n_seeds,method_display,dataset_display
adult_income,ctgan,0.49772164408423636,0.0013950317377974986,5,CTGAN,Adult Income
adult_income,gaussian_copula,0.49846452775707784,0.0021519042127266883,5,GC,Adult Income
adult_income,madifft,0.4984617222998645,0.0022135993586555013,5,MADiff-T,Adult Income
adult_income,tabddpm_single,0.4973463738117182,0.004448676161581007,5,TabDDPM,Adult Income
adult_income,tvae,0.5006878890266439,0.0025551039685644222,5,TVAE,Adult Income
breast_cancer,ctgan,0.46085073609252286,0.02708441619319144,5,CTGAN,Breast Cancer
breast_cancer,gaussian_copula,0.4688442211055276,0.020612391426775505,5,GC,Breast Cancer
breast_cancer,madifft,0.44787631625464003,0.030140721731300918,5,MADiff-T,Breast Cancer
breast_cancer,tabddpm_single,0.47423549910355794,0.011175531609378968,5,TabDDPM,Breast Cancer
breast_cancer,tvae,0.47466351859801514,0.027628436282991345,5,TVAE,Breast Cancer
credit,ctgan,0.49608163265306116,0.017619747438364565,5,CTGAN,Credit
credit,gaussian_copula,0.508514693877551,0.007700517948578802,5,GC,Credit
credit,madifft,0.4759775510204081,0.04684134713405214,5,MADiff-T,Credit
credit,tabddpm_single,0.4728220408163265,0.017374965318672535,5,TabDDPM,Credit
credit,tvae,0.49518367346938774,0.017032292442276685,5,TVAE,Credit
heart,ctgan,0.5426331849612274,0.07609072922579647,5,CTGAN,Heart
heart,gaussian_copula,0.5266537890876515,0.026897068828427267,5,GC,Heart
heart,madifft,0.48663811203493745,0.043493206666643594,5,MADiff-T,Heart
heart,tabddpm_single,0.5356289017664679,0.07550834838130091,5,TabDDPM,Heart
heart,tvae,0.5443184681279919,0.04484245085027061,5,TVAE,Heart
pima,ctgan,0.5197368649195996,0.02659115400238371,5,CTGAN,PIMA
pima,gaussian_copula,0.5172594835089763,0.006936131547314284,5,GC,PIMA
pima,madifft,0.5574205271717834,0.017371745736638754,5,MADiff-T,PIMA
pima,tabddpm_single,0.5650628188189438,0.01470413687599188,5,TabDDPM,PIMA
pima,tvae,0.5193297476497127,0.009986335889030524,5,TVAE,PIMA
