dataset,method,seed,fpr,tpr
breast_cancer,gaussian_copula,0,0.0,0.0
breast_cancer,gaussian_copula,0,0.0,0.003333
breast_cancer,gaussian_copula,0,0.0,0.02
breast_cancer,gaussian_copula,0,0.052632,0.02
breast_cancer,gaussian_copula,0,0.052632,0.03
breast_cancer,gaussian_copula,0,0.070175,0.03
breast_cancer,gaussian_copula,0,0.070175,0.043333
breast_cancer,gaussian_copula,0,0.087719,0.043333
breast_cancer,gaussian_copula,0,0.087719,0.053333
breast_cancer,gaussian_copula,0,0.140351,0.053333
breast_cancer,gaussian_copula,0,0.140351,0.06
breast_cancer,gaussian_copula,0,0.175439,0.06
breast_cancer,gaussian_copula,0,0.175439,0.113333
breast_cancer,gaussian_copula,0,0.192982,0.113333
breast_cancer,gaussian_copula,0,0.192982,0.133333
breast_cancer,gaussian_copula,0,0.210526,0.133333
breast_cancer,gaussian_copula,0,0.210526,0.236667
breast_cancer,gaussian_copula,0,0.22807,0.236667
breast_cancer,gaussian_copula,0,0.22807,0.24
breast_cancer,gaussian_copula,0,0.245614,0.24
breast_cancer,gaussian_copula,0,0.245614,0.276667
breast_cancer,gaussian_copula,0,0.263158,0.276667
breast_cancer,gaussian_copula,0,0.263158,0.293333
breast_cancer,gaussian_copula,0,0.280702,0.293333
breast_cancer,gaussian_copula,0,0.280702,0.313333
breast_cancer,gaussian_copula,0,0.298246,0.313333
breast_cancer,gaussian_copula,0,0.298246,0.32
breast_cancer,gaussian_copula,0,0.315789,0.32
breast_cancer,gaussian_copula,0,0.315789,0.323333
breast_cancer,gaussian_copula,0,0.333333,0.323333
breast_cancer,gaussian_copula,0,0.333333,0.366667
breast_cancer,gaussian_copula,0,0.350877,0.366667
breast_cancer,gaussian_copula,0,0.350877,0.4
breast_cancer,gaussian_copula,0,0.368421,0.4
breast_cancer,gaussian_copula,0,0.368421,0.443333
breast_cancer,gaussian_copula,0,0.385965,0.443333
breast_cancer,gaussian_copula,0,0.385965,0.46
breast_cancer,gaussian_copula,0,0.421053,0.46
breast_cancer,gaussian_copula,0,0.421053,0.493333
breast_cancer,gaussian_copula,0,0.438596,0.493333
breast_cancer,gaussian_copula,0,0.438596,0.516667
breast_cancer,gaussian_copula,0,0.473684,0.516667
breast_cancer,gaussian_copula,0,0.473684,0.523333
breast_cancer,gaussian_copula,0,0.508772,0.523333
breast_cancer,gaussian_copula,0,0.508772,0.546667
breast_cancer,gaussian_copula,0,0.54386,0.546667
breast_cancer,gaussian_copula,0,0.54386,0.57
breast_cancer,gaussian_copula,0,0.561404,0.57
breast_cancer,gaussian_copula,0,0.561404,0.616667
breast_cancer,gaussian_copula,0,0.596491,0.616667
breast_cancer,gaussian_copula,0,0.596491,0.653333
breast_cancer,gaussian_copula,0,0.614035,0.653333
breast_cancer,gaussian_copula,0,0.614035,0.66
breast_cancer,gaussian_copula,0,0.631579,0.66
breast_cancer,gaussian_copula,0,0.631579,0.666667
breast_cancer,gaussian_copula,0,0.666667,0.666667
breast_cancer,gaussian_copula,0,0.666667,0.683333
breast_cancer,gaussian_copula,0,0.684211,0.683333
breast_cancer,gaussian_copula,0,0.684211,0.696667
breast_cancer,gaussian_copula,0,0.701754,0.696667
breast_cancer,gaussian_copula,0,0.701754,0.72
breast_cancer,gaussian_copula,0,0.719298,0.72
breast_cancer,gaussian_copula,0,0.719298,0.733333
