run_tag,dataset,method,epsilon,seed,domias_auc,dist_mia_auc,dcr_q,normdcr,status,error
DOMIAS_POP6_SEEDED_20260321,breast_cancer,madifft,,0,0.5319499507588192,,,,success,DOMIAS error: DataSampler.sample_data() missing 1 required positional argument: 'opt'
DOMIAS_POP6_SEEDED_20260321,breast_cancer,madifft,,1,0.49321986818514685,,,,success,DOMIAS error: DataSampler.sample_data() missing 1 required positional argument: 'opt'
DOMIAS_POP6_SEEDED_20260321,breast_cancer,madifft,,2,0.5330862856998562,,,,success,DOMIAS error: DataSampler.sample_data() missing 1 required positional argument: 'opt'
DOMIAS_POP6_SEEDED_20260321,breast_cancer,madifft,,3,0.45955910204287764,,,,success,DOMIAS error: DataSampler.sample_data() missing 1 required positional argument: 'opt'
DOMIAS_POP6_SEEDED_20260321,breast_cancer,madifft,,4,0.5077649554304184,,,,success,DOMIAS error: DataSampler.sample_data() missing 1 required positional argument: 'opt'
DOMIAS_POP6_SEEDED_20260321,adult_income,madifft,,0,0.4996359806987578,,,,success,"DOMIAS error: The data appears to lie in a lower-dimensional subspace of the space in which it is expressed. This has resulted in a singular data covariance matrix, which cannot be treated using the algorithms implemented in `gaussian_kde`. Consider performing principal component analysis / dimensionality reduction and using `gaussian_kde` with the transformed data."
DOMIAS_POP6_SEEDED_20260321,adult_income,madifft,,1,0.49788199208213146,,,,success,"DOMIAS error: The data appears to lie in a lower-dimensional subspace of the space in which it is expressed. This has resulted in a singular data covariance matrix, which cannot be treated using the algorithms implemented in `gaussian_kde`. Consider performing principal component analysis / dimensionality reduction and using `gaussian_kde` with the transformed data."
DOMIAS_POP6_SEEDED_20260321,adult_income,madifft,,2,0.5014312198161097,,,,success,"DOMIAS error: The data appears to lie in a lower-dimensional subspace of the space in which it is expressed. This has resulted in a singular data covariance matrix, which cannot be treated using the algorithms implemented in `gaussian_kde`. Consider performing principal component analysis / dimensionality reduction and using `gaussian_kde` with the transformed data."
DOMIAS_POP6_SEEDED_20260321,adult_income,madifft,,3,0.5052823989798172,,,,success,"DOMIAS error: The data appears to lie in a lower-dimensional subspace of the space in which it is expressed. This has resulted in a singular data covariance matrix, which cannot be treated using the algorithms implemented in `gaussian_kde`. Consider performing principal component analysis / dimensionality reduction and using `gaussian_kde` with the transformed data."
DOMIAS_POP6_SEEDED_20260321,adult_income,madifft,,4,0.49957394576217456,,,,success,"DOMIAS error: The data appears to lie in a lower-dimensional subspace of the space in which it is expressed. This has resulted in a singular data covariance matrix, which cannot be treated using the algorithms implemented in `gaussian_kde`. Consider performing principal component analysis / dimensionality reduction and using `gaussian_kde` with the transformed data."
DOMIAS_POP6_SEEDED_20260321,pima,madifft,,0,0.5308129514614955,,,,success,DOMIAS error: DataSampler.sample_data() missing 1 required positional argument: 'opt'
DOMIAS_POP6_SEEDED_20260321,pima,madifft,,1,0.5294085009137598,,,,success,DOMIAS error: DataSampler.sample_data() missing 1 required positional argument: 'opt'
DOMIAS_POP6_SEEDED_20260321,pima,madifft,,2,0.5146912462851416,,,,success,DOMIAS error: DataSampler.sample_data() missing 1 required positional argument: 'opt'
DOMIAS_POP6_SEEDED_20260321,pima,madifft,,3,0.49071848915798855,,,,success,DOMIAS error: DataSampler.sample_data() missing 1 required positional argument: 'opt'
DOMIAS_POP6_SEEDED_20260321,pima,madifft,,4,0.5318116718509965,,,,success,DOMIAS error: DataSampler.sample_data() missing 1 required positional argument: 'opt'
DOMIAS_POP6_SEEDED_20260321,heart,madifft,,0,0.5742000503905266,,,,success,DOMIAS error: DataSampler.sample_data() missing 1 required positional argument: 'opt'
DOMIAS_POP6_SEEDED_20260321,heart,madifft,,1,0.5282886817278352,,,,success,DOMIAS error: DataSampler.sample_data() missing 1 required positional argument: 'opt'
DOMIAS_POP6_SEEDED_20260321,heart,madifft,,2,0.5044091710758378,,,,success,DOMIAS error: DataSampler.sample_data() missing 1 required positional argument: 'opt'
DOMIAS_POP6_SEEDED_20260321,heart,madifft,,3,0.5156070658716161,,,,success,DOMIAS error: DataSampler.sample_data() missing 1 required positional argument: 'opt'
DOMIAS_POP6_SEEDED_20260321,heart,madifft,,4,0.5259371238207217,,,,success,DOMIAS error: DataSampler.sample_data() missing 1 required positional argument: 'opt'
DOMIAS_POP6_SEEDED_20260321,credit,madifft,,0,0.47642244897959185,,,,success,"DOMIAS error: The data appears to lie in a lower-dimensional subspace of the space in which it is expressed. This has resulted in a singular data covariance matrix, which cannot be treated using the algorithms implemented in `gaussian_kde`. Consider performing principal component analysis / dimensionality reduction and using `gaussian_kde` with the transformed data."
DOMIAS_POP6_SEEDED_20260321,credit,madifft,,1,0.4575510204081632,,,,success,"DOMIAS error: The data appears to lie in a lower-dimensional subspace of the space in which it is expressed. This has resulted in a singular data covariance matrix, which cannot be treated using the algorithms implemented in `gaussian_kde`. Consider performing principal component analysis / dimensionality reduction and using `gaussian_kde` with the transformed data."
DOMIAS_POP6_SEEDED_20260321,credit,madifft,,2,0.48723469387755103,,,,success,"DOMIAS error: The data appears to lie in a lower-dimensional subspace of the space in which it is expressed. This has resulted in a singular data covariance matrix, which cannot be treated using the algorithms implemented in `gaussian_kde`. Consider performing principal component analysis / dimensionality reduction and using `gaussian_kde` with the transformed data."
DOMIAS_POP6_SEEDED_20260321,credit,madifft,,3,0.46283469387755105,,,,success,"DOMIAS error: The data appears to lie in a lower-dimensional subspace of the space in which it is expressed. This has resulted in a singular data covariance matrix, which cannot be treated using the algorithms implemented in `gaussian_kde`. Consider performing principal component analysis / dimensionality reduction and using `gaussian_kde` with the transformed data."
DOMIAS_POP6_SEEDED_20260321,credit,madifft,,4,0.4807714285714286,,,,success,"DOMIAS error: The data appears to lie in a lower-dimensional subspace of the space in which it is expressed. This has resulted in a singular data covariance matrix, which cannot be treated using the algorithms implemented in `gaussian_kde`. Consider performing principal component analysis / dimensionality reduction and using `gaussian_kde` with the transformed data."
