dataset,seed,generation,agent_id,utility,fidelity,normdcr,mia_auc,mia_adv,class_kl,params,guard_failed,fitness,selected_by,privacy_gate_count,relaxed_gate_count,total_candidates,mia_thr,normdcr_thr,relaxed_mia_thr,relaxed_normdcr_thr,utility_floor,pass_rate,n_passing,n_candidates,selected_agent_id,selected
breast_cancer,0,0,g0_a0,0.6521164021164021,0.0204971422005124,14.124251943080628,0.4467251461988304,0.1065497076023391,0.0,"{'device': 'cuda', 'timesteps': 200, 'schedule': 'cosine', 'beta_scale': 0.9, 'dropout': 0.1, 'cont_scale': 1.0, 'batch_size': 128, 'epochs': 50, 'include_label': False, 'seed': 0, 'lambda_cat': 0.3, 'feature_weights_cont': [0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.762241244316101, 0.5896736979484558, 0.5896736979484558, 0.6065970659255981, 0.8480550050735474, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 2.3586947917938232, 1.281867504119873, 0.7177563309669495, 2.3586947917938232, 2.3586947917938232, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.0620269775390625, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.3138551712036133], 'feature_weights_cat': [], 'continuous_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], 'categorical_idx': [], 'categorical_cardinalities': [], 'feature_alpha': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'feature_gamma': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'num_layers': 2, 'time_embed_dim': 76, 'agent_id': 'g0_a0'}",False,1.383174286831441,privacy_gate,3,3,6,0.55,1.0,0.58,0.95,0.6656281407035176,0.5,3.0,6.0,g0_a3,False
breast_cancer,0,0,g0_a1,0.7539682539682541,0.0251832614756501,14.004294673079484,0.537719298245614,0.075438596491228,0.0,"{'device': 'cuda', 'timesteps': 154, 'schedule': 'cosine', 'beta_scale': 0.9, 'dropout': 0.1, 'cont_scale': 1.0, 'batch_size': 145, 'epochs': 50, 'include_label': False, 'seed': 0, 'lambda_cat': 0.3, 'feature_weights_cont': [0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.762241244316101, 0.5896736979484558, 0.5896736979484558, 0.6065970659255981, 0.8480550050735474, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 2.3586947917938232, 1.281867504119873, 0.7177563309669495, 2.3586947917938232, 2.3586947917938232, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.0620269775390625, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.3138551712036133], 'feature_weights_cat': [], 'continuous_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], 'categorical_idx': [], 'categorical_cardinalities': [], 'feature_alpha': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'feature_gamma': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'agent_id': 'g0_a1'}",False,2.070668991285447,privacy_gate,3,3,6,0.55,1.0,0.58,0.95,0.6656281407035176,0.5,3.0,6.0,g0_a3,False
breast_cancer,0,0,g0_a2,0.5251322751322751,0.0172753807353228,13.74630879962809,0.3862573099415204,0.227485380116959,0.0,"{'device': 'cuda', 'timesteps': 223, 'schedule': 'cosine', 'beta_scale': 0.9, 'dropout': 0.1, 'cont_scale': 1.0, 'batch_size': 128, 'epochs': 50, 'include_label': False, 'seed': 0, 'lambda_cat': 0.3, 'feature_weights_cont': [0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.762241244316101, 0.5896736979484558, 0.5896736979484558, 0.6065970659255981, 0.8480550050735474, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 2.3586947917938232, 1.281867504119873, 0.7177563309669495, 2.3586947917938232, 2.3586947917938232, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.0620269775390625, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.3138551712036133], 'feature_weights_cat': [], 'continuous_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], 'categorical_idx': [], 'categorical_cardinalities': [], 'feature_alpha': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'feature_gamma': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'hidden_dim': 155, 'time_embed_dim': 61, 'lr': 0.0012658278566475818, 'agent_id': 'g0_a2'}",False,0.6163508738483728,privacy_gate,3,3,6,0.55,1.0,0.58,0.95,0.6656281407035176,0.5,3.0,6.0,g0_a3,False
breast_cancer,0,0,g0_a3,0.962962962962963,0.0198569171165148,13.773954185948623,0.4987134502923976,0.0025730994152046,0.0,"{'device': 'cuda', 'timesteps': 200, 'schedule': 'cosine', 'beta_scale': 0.9, 'dropout': 0.1, 'cont_scale': 1.0, 'batch_size': 128, 'epochs': 50, 'include_label': False, 'seed': 0, 'lambda_cat': 0.3, 'feature_weights_cont': [0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.762241244316101, 0.5896736979484558, 0.5896736979484558, 0.6065970659255981, 0.8480550050735474, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 2.3586947917938232, 1.281867504119873, 0.7177563309669495, 2.3586947917938232, 2.3586947917938232, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.0620269775390625, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.3138551712036133], 'feature_weights_cat': [], 'continuous_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], 'categorical_idx': [], 'categorical_cardinalities': [], 'feature_alpha': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'feature_gamma': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'num_layers': 3, 'agent_id': 'g0_a3'}",False,1.945277261743101,privacy_gate,3,3,6,0.55,1.0,0.58,0.95,0.6656281407035176,0.5,3.0,6.0,g0_a3,True
breast_cancer,0,0,g0_a4,0.1812169312169312,0.018356548034217,14.608235215315537,0.4237426900584795,0.1525146198830409,0.0,"{'device': 'cuda', 'timesteps': 250, 'schedule': 'cosine', 'beta_scale': 0.9, 'dropout': 0.1, 'cont_scale': 1.0, 'batch_size': 128, 'epochs': 50, 'include_label': False, 'seed': 0, 'lambda_cat': 0.3, 'feature_weights_cont': [0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.762241244316101, 0.5896736979484558, 0.5896736979484558, 0.6065970659255981, 0.8480550050735474, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 2.3586947917938232, 1.281867504119873, 0.7177563309669495, 2.3586947917938232, 2.3586947917938232, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.0620269775390625, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.3138551712036133], 'feature_weights_cat': [], 'continuous_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], 'categorical_idx': [], 'categorical_cardinalities': [], 'feature_alpha': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'feature_gamma': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'hidden_dim': 99, 'agent_id': 'g0_a4'}",False,0.455685327621332,privacy_gate,3,3,6,0.55,1.0,0.58,0.95,0.6656281407035176,0.5,3.0,6.0,g0_a3,False
breast_cancer,0,0,g0_a5,0.5992063492063493,0.0155814395790566,13.783081577768431,0.5133918128654971,0.0267836257309941,0.0,"{'device': 'cuda', 'timesteps': 207, 'schedule': 'cosine', 'beta_scale': 0.9, 'dropout': 0.1, 'cont_scale': 1.0, 'batch_size': 142, 'epochs': 50, 'include_label': False, 'seed': 0, 'lambda_cat': 0.3, 'feature_weights_cont': [0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.762241244316101, 0.5896736979484558, 0.5896736979484558, 0.6065970659255981, 0.8480550050735474, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 2.3586947917938232, 1.281867504119873, 0.7177563309669495, 2.3586947917938232, 2.3586947917938232, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.0620269775390625, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.3138551712036133], 'feature_weights_cat': [], 'continuous_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], 'categorical_idx': [], 'categorical_cardinalities': [], 'feature_alpha': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'feature_gamma': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'num_layers': 4, 'time_embed_dim': 67, 'lr': 0.00171460707411122, 'agent_id': 'g0_a5'}",False,0.9808648139024572,privacy_gate,3,3,6,0.55,1.0,0.58,0.95,0.6656281407035176,0.5,3.0,6.0,g0_a3,False
breast_cancer,0,1,g0_a1,0.5621693121693122,0.020500344060794,13.662597276735092,0.4535087719298245,0.0929824561403509,0.0,"{'device': 'cuda', 'timesteps': 154, 'schedule': 'cosine', 'beta_scale': 0.9, 'dropout': 0.1, 'cont_scale': 1.0, 'batch_size': 145, 'epochs': 50, 'include_label': False, 'seed': 0, 'lambda_cat': 0.3, 'feature_weights_cont': [0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.762241244316101, 0.5896736979484558, 0.5896736979484558, 0.6065970659255981, 0.8480550050735474, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 2.3586947917938232, 1.281867504119873, 0.7177563309669495, 2.3586947917938232, 2.3586947917938232, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.0620269775390625, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.3138551712036133], 'feature_weights_cat': [], 'continuous_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], 'categorical_idx': [], 'categorical_cardinalities': [], 'feature_alpha': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'feature_gamma': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'agent_id': 'g0_a1'}",False,1.0282576639336751,privacy_gate,3,3,6,0.55,1.0,0.58,0.95,0.6656281407035176,0.5,3.0,6.0,g0_a3,False
breast_cancer,0,1,g0_a3,0.8981481481481481,0.0236291469590935,13.707124378443874,0.5208771929824562,0.0417543859649123,0.0,"{'device': 'cuda', 'timesteps': 200, 'schedule': 'cosine', 'beta_scale': 0.9, 'dropout': 0.1, 'cont_scale': 1.0, 'batch_size': 128, 'epochs': 50, 'include_label': False, 'seed': 0, 'lambda_cat': 0.3, 'feature_weights_cont': [0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.762241244316101, 0.5896736979484558, 0.5896736979484558, 0.6065970659255981, 0.8480550050735474, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 2.3586947917938232, 1.281867504119873, 0.7177563309669495, 2.3586947917938232, 2.3586947917938232, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.0620269775390625, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.3138551712036133], 'feature_weights_cat': [], 'continuous_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], 'categorical_idx': [], 'categorical_cardinalities': [], 'feature_alpha': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'feature_gamma': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'num_layers': 3, 'agent_id': 'g0_a3'}",False,2.2221818494256387,privacy_gate,3,3,6,0.55,1.0,0.58,0.95,0.6656281407035176,0.5,3.0,6.0,g0_a3,True
breast_cancer,0,1,g0_a0,0.3677248677248677,0.0186760322057807,14.035529997205709,0.495438596491228,0.0091228070175438,0.0,"{'device': 'cuda', 'timesteps': 200, 'schedule': 'cosine', 'beta_scale': 0.9, 'dropout': 0.1, 'cont_scale': 1.0, 'batch_size': 128, 'epochs': 50, 'include_label': False, 'seed': 0, 'lambda_cat': 0.3, 'feature_weights_cont': [0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.762241244316101, 0.5896736979484558, 0.5896736979484558, 0.6065970659255981, 0.8480550050735474, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 2.3586947917938232, 1.281867504119873, 0.7177563309669495, 2.3586947917938232, 2.3586947917938232, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.0620269775390625, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.3138551712036133], 'feature_weights_cat': [], 'continuous_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], 'categorical_idx': [], 'categorical_cardinalities': [], 'feature_alpha': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'feature_gamma': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'num_layers': 2, 'time_embed_dim': 76, 'agent_id': 'g0_a0'}",False,0.7651174613271181,privacy_gate,3,3,6,0.55,1.0,0.58,0.95,0.6656281407035176,0.5,3.0,6.0,g0_a3,False
breast_cancer,0,1,g1_a3,0.5357142857142857,0.0249462357197648,13.840216882421046,0.4346783625730994,0.1306432748538011,0.0,"{'device': 'cuda', 'timesteps': 236, 'schedule': 'cosine', 'beta_scale': 0.9, 'dropout': 0.1, 'cont_scale': 1.0, 'batch_size': 128, 'epochs': 50, 'include_label': False, 'seed': 0, 'lambda_cat': 0.3, 'feature_weights_cont': [0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.762241244316101, 0.5896736979484558, 0.5896736979484558, 0.6065970659255981, 0.8480550050735474, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 2.3586947917938232, 1.281867504119873, 0.7177563309669495, 2.3586947917938232, 2.3586947917938232, 2.3586947917938232, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.0620269775390625, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 0.5896736979484558, 1.3138551712036133], 'feature_weights_cat': [], 'continuous_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], 'categorical_idx': [], 'categorical_cardinalities': [], 'feature_alpha': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'feature_gamma': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.], dtype=float32), 'num_layers': 2, 'agent_id': 'g1_a3', 'hidden_dim': 145}",False,1.356972572944905,privacy_gate,3,3,6,0.55,1.0,0.58,0.95,0.6656281407035176,0.5,3.0,6.0,g0_a3,False
