run_tag,dataset,source_dataset,method,epsilon,seed,classifier,metric_name,metric,metric_value,value,converged,n_iter,status,fallback_used,n_synth,notes
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,stasy,,0,logistic_regression,accuracy,accuracy,0.2300921187308086,23.009211873080858,True,72,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,stasy,,0,logistic_regression,f1_macro,f1_macro,0.2224593040855909,22.24593040855909,True,72,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,stasy,,0,logistic_regression,roc_auc,roc_auc,0.2196142084583716,21.96142084583716,True,72,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,stasy,,1,logistic_regression,accuracy,accuracy,0.7606960081883316,76.06960081883317,True,124,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,stasy,,1,logistic_regression,f1_macro,f1_macro,0.4320427857225904,43.20427857225904,True,124,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,stasy,,1,logistic_regression,roc_auc,roc_auc,0.7646157784385098,76.46157784385098,True,124,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,stasy,,2,logistic_regression,accuracy,accuracy,0.23930399181166837,23.930399181166838,True,93,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,stasy,,2,logistic_regression,f1_macro,f1_macro,0.19309547406673275,19.309547406673275,True,93,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,stasy,,2,logistic_regression,roc_auc,roc_auc,0.5741769574797813,57.41769574797813,True,93,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,stasy,,3,logistic_regression,accuracy,accuracy,0.7606960081883316,76.06960081883317,True,107,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,stasy,,3,logistic_regression,f1_macro,f1_macro,0.4320427857225904,43.20427857225904,True,107,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,stasy,,3,logistic_regression,roc_auc,roc_auc,0.33896607830011205,33.896607830011206,True,107,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,stasy,,4,logistic_regression,accuracy,accuracy,0.7606960081883316,76.06960081883317,True,122,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,stasy,,4,logistic_regression,f1_macro,f1_macro,0.4320427857225904,43.20427857225904,True,122,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,stasy,,4,logistic_regression,roc_auc,roc_auc,0.4362851645624636,43.62851645624636,True,122,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,tabsyn,,0,logistic_regression,accuracy,accuracy,0.8491299897645854,84.91299897645854,True,658,success,,39072,
TSTR_TABSYN_STASY_20260301_122820,adult_income,adult,tabsyn,,0,logistic_regression,f1_macro,f1_macro,0.7709463135331805,77.09463135331805,True,658,success,,39072,
